"";"ImePriimek";"Premozenje";"Vir"
"131";"Peter Woo";10800;"real estate"
"132";"Alexander Otto";10700;"real estate"
"133";"Gianluigi & Rafaela Aponte";10500;"Shipping"
"134";"John Menard, Jr.";10500;"home improvement stores"
"135";"Rodolphe Saade & family";10500;"shipping"
"136";"Aliko Dangote";10400;"cement, sugar, flour"
"137";"Walter P.J. Droege";10200;"consulting"
"138";"Marcel Herrmann Telles";9900;"beer"
"139";"Mikhail Prokhorov";9800;"investments"
"140";"German Khan";9700;"oil, banking, telecom"
"141";"Gordon Moore";9700;"Intel"
"142";"Eduardo Saverin";9700;"Facebook"
"143";"Charles Ergen";9600;"satellite TV"
"144";"Jan Koum";9600;"WhatsApp"
"145";"Lei Jun";9600;"smartphones"
"146";"Robin Li";9600;"internet search"
"147";"Cyrus Poonawalla";9500;"vaccines"
"148";"Joseph Tsai";9500;"e-commerce"
"149";"Eyal Ofer";9400;"real estate, shipping"
"150";"Ronald Perelman";9400;"leveraged buyouts"
"151";"Quek Leng Chan";9400;"banking, property"
"152";"Wu Yajun & family";9400;"real estate"
"153";"Jim Kennedy";9300;"media, automotive"
"154";"Blair Parry-Okeden";9300;"media, automotive"
"155";"Xu Shihui";9300;"snacks, beverages"
"156";"Mike Adenuga";9200;"telecom, oil"
"157";"Harry Triguboff";9200;"real estate"
"158";"Andrew Beal";9100;"banks, real estate"
"159";"Graeme Hart";9100;"investments"
"160";"Hui Wing Mau";9000;"real estate"
"161";"Sun Hongbin";9000;"real estate"
"162";"Micky Arison";8900;"Carnival Cruises"
"163";"James Goodnight";8900;"software"
"164";"Pang Kang";8900;"soy sauce maker"
"165";"Viktor Rashnikov";8900;"steel"
"166";"Carlos Alberto Sicupira & family";8900;"beer"
"167";"Gautam Adani";8700;"commodities, ports"
"168";"Leonid Fedun & family";8700;"oil"
"169";"Stanley Kroenke";8700;"sports, real estate"
"170";"Jorn Rausing";8700;"packaging"
"171";"Gong Hongjia & family";8600;"video surveillance"
"172";"Michael Kadoorie";8600;"hotels, energy"
"173";"Giorgio Armani";8500;"luxury goods"
"174";"Sun Piaoyang";8400;"pharmaceuticals"
"175";"August von Finck";8400;"investments"
"176";"Galen Weston & family";8400;"retail"
"177";"Zong Qinghou";8400;"beverages"
"178";"Carl Cook";8300;"medical devices"
"179";"Charles Schwab";8300;"discount brokerage"
"180";"George Soros";8300;"hedge funds"
"181";"Johann Graf";8100;"gambling"
"182";"Seo Jung-jin";8100;"biotech"
"183";"Ernesto Bertarelli";8000;"biotech, investments"
"184";"Michael Platt";8000;"hedge funds"
"185";"Finn Rausing";7900;"packaging"
"186";"Kirsten Rausing";7900;"packaging"
"187";"David Geffen";7800;"movies, record labels"
"188";"Edward Johnson, III.";7800;"money management"
"189";"Ma Jianrong & family";7800;"textiles, apparel"
"190";"Patrick Drahi";7700;"telecom"
"191";"George Kaiser";7600;"oil & gas, banking"
"192";"Stephen Ross";7600;"real estate"
"193";"Dilip Shanghvi";7600;"pharmaceuticals"
"194";"Eric Wittouck";7600;"Investments"
"195";"Alexei Kuzmichev";7500;"oil, banking, telecom"
"196";"David Reuben";7500;"investments, real estate"
"197";"Simon Reuben";7500;"real estate, investments"
"198";"Alberto Bailleres Gonzalez & family";7400;"mining"
"199";"Massimiliana Landini Aleotti & family";7400;"pharmaceuticals"
"200";"Herbert Kohler, Jr. & family";7300;"plumbing fixtures"
