"";"ImePriimek";"Premozenje";"Vir"
"1";"Bill Gates";75000;"Microsoft"
"2";"Amancio Ortega";67000;"Zara"
"3";"Warren Buffett";60800;"Berkshire Hathaway"
"4";"Carlos Slim Helu & family";50000;"telecom"
"5";"Jeff Bezos";45200;"Amazon.com"
"6";"Mark Zuckerberg";44600;"Facebook"
"7";"Larry Ellison";43600;"software"
"8";"Michael Bloomberg";40000;"Bloomberg LP"
"9";"Charles Koch";39600;"diversified"
"10";"David Koch";39600;"diversified"
"11";"Liliane Bettencourt & family";36100;"L'Oreal"
"12";"Larry Page";35200;"Google"
"13";"Sergey Brin";34400;"Google"
"14";"Bernard Arnault & family";34000;"LVMH"
"15";"Jim Walton";33600;"Wal-Mart"
"16";"Alice Walton";32300;"Wal-Mart"
"17";"S. Robson Walton";31900;"Wal-Mart"
"18";"Wang Jianlin";28700;"real estate"
"19";"Jorge Paulo Lemann";27800;"beer"
"20";"Li Ka-shing";27100;"diversified"
"21";"Beate Heister & Karl Albrecht Jr.";25900;"supermarkets"
"22";"Sheldon Adelson";25200;"casinos"
"23";"George Soros";24900;"hedge funds"
"24";"Phil Knight & family";24400;"Nike"
"25";"David Thomson & family";23800;"media"
"26";"Steve Ballmer";23500;"Microsoft"
"27";"Forrest Mars, Jr.";23400;"candy"
"28";"Jacqueline Mars";23400;"candy"
"29";"John Mars";23400;"candy"
"30";"Maria Franca Fissolo";22100;"Nutella, chocolates"
"31";"Lee Shau Kee";21500;"real estate"
"32";"Stefan Persson";20800;"H&M"
"33";"Jack Ma";20500;"e-commerce"
"34";"Theo Albrecht, Jr. & family";20300;"Aldi, Trader Joe's"
"35";"Michael Dell";19800;"Dell computers"
"36";"Mukesh Ambani";19300;"petrochemicals, oil & gas"
"37";"Leonardo Del Vecchio & family";18700;"eyeglasses"
"38";"Susanne Klatten";18500;"BMW, pharmaceuticals"
"39";"Georg Schaeffler";18100;"automotive"
"40";"Paul Allen";17500;"Microsoft, investments"
"41";"Prince Alwaleed Bin Talal Alsaud";17300;"investments"
"42";"Joseph Safra";17200;"banking"
"43";"Carl Icahn";17000;"investments"
"44";"Laurene Powell Jobs & family";16700;"Apple, Disney"
"45";"Dilip Shanghvi";16700;"pharmaceuticals"
"46";"Ma Huateng";16600;"internet services"
"47";"Dieter Schwarz";16400;"retail"
"48";"Ray Dalio";15600;"hedge funds"
"49";"Stefan Quandt";15600;"BMW"
"50";"James Simons";15500;"hedge funds"
"51";"Aliko Dangote";15400;"cement, sugar, flour"
"52";"Michael Otto & family";15400;"retail, real estate"
"53";"Len Blavatnik";15300;"diversified"
"54";"Donald Bren";15100;"real estate"
"55";"Azim Premji";15000;"software services"
"56";"Serge Dassault & family";14700;"aviation"
"57";"Tadashi Yanai & family";14600;"fashion retail"
"58";"Cheng Yu-tung";14500;"diversified"
"59";"Hinduja family";14500;"Hinduja Group"
"60";"Leonid Mikhelson";14400;"gas, chemicals"
"61";"David & Simon Reuben";14400;"investments, real estate"
"62";"Stefano Pessina";13400;"drugstores"
"63";"Mikhail Fridman";13300;"oil, banking, telecom"
"64";"Dietrich Mateschitz";13200;"Red Bull"
"65";"Abigail Johnson";13100;"money management"
"66";"Kjeld Kirk Kristiansen & family";13100;"Lego"
"67";"Joseph Lau";13100;"real estate"
"68";"Gerald Cavendish Grosvenor & family";13000;"real estate"
"69";"Thomas & Raymond Kwok";13000;"real estate"
"70";"Marcel Herrmann Telles";13000;"beer"
"71";"Henry Sy & family";12900;"SM Investments Corporation"
"72";"Steve Cohen";12700;"hedge funds"
"73";"Pallonji Mistry";12500;"construction"
"74";"Hans Rausing";12500;"packaging"
"75";"Alisher Usmanov";12500;"steel, telecom, investments"
"76";"Charlene de Carvalho-Heineken & family";12300;"Heineken"
"77";"Charles Ergen";12200;"satellite TV"
"78";"Ronald Perelman";12100;"leveraged buyouts"
"79";"Vladimir Potanin";12100;"metals"
"80";"Stephen Ross";12000;"real estate"
"81";"Patrick Soon-Shiong";11900;"pharmaceuticals"
"82";"Masayoshi Son";11700;"internet, telecom"
"83";"Heinz Hermann Thiele & family";11700;"brakes"
"84";"Francois Pinault & family";11500;"luxury goods"
"85";"David Tepper";11400;"hedge funds"
"86";"Gennady Timchenko";11400;"oil & gas"
"87";"Carlos Alberto Sicupira";11300;"beer"
