"";"ImePriimek";"Premozenje";"Vir"
"88";"Shiv Nadar";11100;"software services"
"89";"Thomas Peterffy";11100;"discount brokerage"
"90";"Robin Li";11000;"internet search"
"91";"Alain Wertheimer";11000;"Chanel"
"92";"Gerard Wertheimer";11000;"Chanel"
"93";"Alexey Mordashov";10900;"steel, investments"
"94";"Elon Musk";10700;"Tesla Motors"
"95";"Charoen Sirivadhanabhakdi";10700;"drinks, real estate"
"96";"Petr Kellner";10600;"banking, insurance"
"97";"Rupert Murdoch & family";10600;"newspapers, TV network"
"98";"Viktor Vekselberg";10500;"metals, energy"
"99";"Lukas Walton";10400;"Wal-Mart"
"100";"Eric Schmidt";10200;"Google"
"101";"Iris Fontbona & family";10100;"mining"
"102";"Massimiliana Landini Aleotti & family";10100;"pharmaceuticals"
"103";"Mike Adenuga";10000;"telecom, oil"
"104";"Klaus-Michael Kuehne";10000;"shipping"
"105";"Robert Kuok";10000;"palm oil/shipping/real estate"
"106";"Samuel Newhouse, Jr.";10000;"media"
"107";"Lei Jun";9800;"smartphones"
"108";"Philip Anschutz";9700;"investments"
"109";"Jim Kennedy";9700;"media"
"110";"Blair Parry-Okeden";9700;"media"
"111";"John Paulson";9700;"hedge funds"
"112";"Lee Kun-Hee";9600;"Samsung"
"113";"Hasso Plattner & family";9500;"software"
"114";"Stephen Schwarzman";9500;"investments"
"115";"Andrew Beal";9400;"banks, real estate"
"116";"Vladimir Lisin";9300;"steel, transport"
"117";"John Menard, Jr.";9300;"home improvement stores"
"118";"Donald Newhouse";9300;"media"
"119";"Udo & Harald Tschira";9300;"Software"
"120";"Galen Weston & family";9300;"retail"
"121";"German Larrea Mota Velasco & family";9200;"mining"
"122";"He Xiangjian";9000;"home appliances"
"123";"Leonard Lauder";9000;"Estee Lauder"
"124";"Vagit Alekperov";8900;"oil"
"125";"Dustin Moskovitz";8900;"Facebook"
"126";"Luis Carlos Sarmiento";8900;"banking"
"127";"Gina Rinehart";8800;"mining"
"128";"German Khan";8700;"oil, banking, telecom"
"129";"Ernesto Bertarelli";8600;"biotech, investments"
"130";"Hui Ka Yan";8600;"real estate"
"131";"Jan Koum";8600;"WhatsApp"
"132";"Xavier Niel";8600;"internet, telecom"
"133";"John Fredriksen";8500;"shipping"
"134";"Cyrus Poonawalla";8500;"vaccines"
"135";"Gianluigi & Rafaela Aponte";8400;"shipping"
"136";"Lakshmi Mittal";8400;"steel"
"137";"Eyal Ofer";8400;"real estate, shipping"
"138";"Mohammed Al Amoudi";8300;"oil, diversified"
"139";"Hank & Doug Meijer";8200;"supermarkets"
"140";"Andrey Melnichenko";8200;"coal, fertilizers"
"141";"William Ding";8100;"online games"
"142";"R. Budi Hartono";8100;"banking, tobacco"
"143";"Reinhold Wuerth & family";8100;"fasteners"
"144";"James Goodnight";8000;"software"
"145";"Johann Graf";8000;"gambling"
"146";"Michael Hartono";7900;"tobacco, banking"
"147";"Dietmar Hopp & family";7900;"software"
"148";"Stanley Kroenke";7700;"sports, real estate"
"149";"Dmitry Rybolovlev";7700;"fertilizer"
"150";"Suh Kyung-Bae";7700;"cosmetics"
"151";"Roman Abramovich";7600;"steel, investments"
"152";"Emmanuel Besnier";7600;"cheese"
"153";"Lui Che Woo";7600;"casinos"
"154";"Robert & Philip Ng";7600;"real estate"
"155";"Mikhail Prokhorov";7600;"investments"
"156";"August von Finck";7600;"investments"
"157";"Ken Griffin";7500;"hedge funds"
"158";"Ananda Krishnan";7400;"telecom"
"159";"Eli Broad";7300;"investments"
"160";"Thomas Frist, Jr. & family";7300;"health care"
"161";"Herbert Kohler, Jr. & family";7300;"plumbing fixtures"
"162";"Harry Triguboff";7300;"property"
"163";"Edward Johnson, III.";7200;"money management"
"164";"Pierre Omidyar";7200;"eBay"
"165";"Takemitsu Takizaki";7200;"sensors"
"166";"Wang Wenyin";7200;"mining, copper products"
"167";"Micky Arison";7100;"Carnival Cruises"
"168";"George Kaiser";7100;"oil & gas, banking"
"169";"Les Wexner & family";7100;"retail"
"170";"Alberto Bailleres Gonzalez & family";6900;"mining"
"171";"Dhanin Chearavanont";6800;"diversified"
"172";"Margarita Louis-Dreyfus & family";6800;"commodities"
"173";"Alexei Kuzmichev";6700;"oil, banking, telecom"
"174";"Nicky Oppenheimer & family";6600;"diamonds"
"175";"Peter Woo";6600;"real estate"
"176";"Jean-Claude Decaux & family";6500;"advertising"
"177";"David Geffen";6500;"movies, record labels"
"178";"James Chambers";6400;"media"
"179";"Walter P.J. Droege";6400;"Consulting"
"180";"Graeme Hart";6400;"investments"
"181";"Sandra Ortega Mera";6400;"Zara"
"182";"Katharine Rayner";6400;"media"
"183";"Margaretta Taylor";6400;"media"
"184";"John Grayken";6300;"private equity"
"185";"Uday Kotak";6300;"banking"
"186";"Liu Qiangdong";6300;"e-commerce"
"187";"John Malone";6300;"cable television"
"188";"Silvio Berlusconi & family";6200;"media"
"189";"Garrett Camp";6200;"Uber Technologies"
"190";"Curt Engelhorn & family";6200;"pharmaceuticals"
"191";"Travis Kalanick";6200;"Uber Technologies"
"192";"Walter Kwok";6200;"real estate"
"193";"Eduardo Saverin";6200;"Facebook"
"194";"Xu Shihui & family";6200;"snacks, beverages"
"195";"Zong Qinghou";6200;"beverages"
"196";"Giorgio Armani";6100;"luxury goods"
"197";"Kumar Birla";6100;"commodities"
"198";"Eva Gonda de Rivera & family";6100;"beverages"
"199";"Wolfgang Marguerre";6100;"pharmaceuticals"
"200";"Hansjoerg Wyss";6100;"medical devices"
