"";"ImePriimek";"Premozenje";"Vir"
"1";"Bill Gates";86000;"Microsoft"
"2";"Warren Buffett";75600;"Berkshire Hathaway"
"3";"Jeff Bezos";72800;"Amazon.com"
"4";"Amancio Ortega";71300;"Zara"
"5";"Mark Zuckerberg";56000;"Facebook"
"6";"Carlos Slim Helu & family";54500;"telecom"
"7";"Larry Ellison";52200;"software"
"8";"Charles Koch";48300;"diversified"
"9";"David Koch";48300;"Koch Industries"
"10";"Michael Bloomberg";47500;"Bloomberg LP"
"11";"Bernard Arnault & family";41500;"LVMH"
"12";"Larry Page";40700;"Google"
"13";"Sergey Brin";39800;"Google"
"14";"Liliane Bettencourt & family";39500;"L'Oreal"
"15";"S. Robson Walton";34100;"Wal-Mart"
"16";"Jim Walton";34000;"Wal-Mart"
"17";"Alice Walton";33800;"Wal-Mart"
"18";"Wang Jianlin";31300;"real estate"
"19";"Li Ka-shing";31200;"diversified"
"20";"Sheldon Adelson";30400;"casinos"
"21";"Steve Ballmer";30000;"Microsoft"
"22";"Jorge Paulo Lemann & family";29200;"beer"
"23";"Jack Ma";28300;"e-commerce"
"24";"Beate Heister & Karl Albrecht Jr.";27200;"supermarkets"
"25";"David Thomson & family";27200;"media"
"26";"Jacqueline Mars";27000;"candy"
"27";"John Mars";27000;"candy"
"28";"Phil Knight & family";26200;"Nike"
"29";"Maria Franca Fissolo";25200;"Nutella, chocolates"
"30";"George Soros";25200;"hedge funds"
"31";"Ma Huateng";24900;"internet media"
"32";"Lee Shau Kee";24400;"real estate"
"33";"Mukesh Ambani";23200;"petrochemicals, oil & gas"
"34";"Masayoshi Son";21200;"internet, telecom"
"35";"Kjeld Kirk Kristiansen";21100;"Lego"
"36";"Georg Schaeffler";20700;"auto parts"
"37";"Joseph Safra";20500;"banking"
"38";"Michael Dell";20400;"Dell computers"
"39";"Susanne Klatten";20400;"BMW, pharmaceuticals"
"40";"Len Blavatnik";20000;"diversified"
"41";"Laurene Powell Jobs & family";20000;"Apple, Disney"
"42";"Paul Allen";19900;"Microsoft, investments"
"43";"Stefan Persson";19600;"H&M"
"44";"Theo Albrecht, Jr. & family";18800;"Aldi, Trader Joe's"
"45";"Prince Alwaleed Bin Talal Alsaud";18700;"investments"
"46";"Leonid Mikhelson";18400;"gas, chemicals"
"47";"Charles Ergen";18300;"satellite TV"
"48";"Stefan Quandt";18300;"BMW"
"49";"James Simons";18000;"hedge funds"
"50";"Leonardo Del Vecchio & family";17900;"eyeglasses"
"51";"Alexey Mordashov";17500;"steel, investments"
"52";"William Ding";17300;"online games"
"53";"Dieter Schwarz";17000;"retail"
"54";"Ray Dalio";16800;"hedge funds"
"55";"Carl Icahn";16600;"investments"
"56";"Lakshmi Mittal";16400;"steel"
"57";"Serge Dassault & family";16100;"diversified"
"58";"Vladimir Lisin";16100;"steel, transport"
"59";"Gennady Timchenko";16000;"oil, gas"
"60";"Wang Wei";15900;"package delivery"
"61";"Tadashi Yanai & family";15900;"fashion retail"
"62";"Charoen Sirivadhanabhakdi";15800;"drinks, real estate"
"63";"Francois Pinault & family";15700;"luxury goods"
"64";"Hinduja family";15400;"diversified"
"65";"David Reuben";15300;"investments, real estate"
"66";"Donald Bren";15200;"real estate"
"67";"Alisher Usmanov";15200;"steel, telecom, investments"
"68";"Lee Kun-Hee";15100;"Samsung"
"69";"Thomas & Raymond Kwok";15000;"real estate"
"70";"Joseph Lau";15000;"real estate"
"71";"Gina Rinehart";15000;"mining"
"72";"Azim Premji";14900;"software services"
"73";"Marcel Herrmann Telles";14800;"beer"
"74";"Vagit Alekperov";14500;"oil"
"75";"Mikhail Fridman";14400;"oil, banking, telecom"
"76";"Abigail Johnson";14400;"money management"
"77";"Pallonji Mistry";14300;"construction"
"78";"Vladimir Potanin";14300;"metals"
"79";"Wang Wenyin";14000;"mining, copper products"
"80";"Elon Musk";13900;"Tesla Motors"
"81";"Stefano Pessina";13900;"drugstores"
"82";"German Larrea Mota Velasco & family";13800;"mining"
"83";"Thomas Peterffy";13800;"discount brokerage"
"84";"Iris Fontbona & family";13700;"mining"
"85";"Dilip Shanghvi";13700;"pharmaceuticals"
"86";"Dietrich Mateschitz";13400;"Red Bull"
"87";"Harold Hamm & family";13300;"oil & gas"
"88";"Robin Li";13300;"internet search"
"89";"Andrey Melnichenko";13200;"coal, fertilizers"
"90";"Rupert Murdoch & family";13100;"newspapers, TV network"
"91";"Heinz Hermann Thiele & family";13100;"brakes"
"92";"Steve Cohen";13000;"hedge funds"
"93";"Patrick Drahi";13000;"telecom"
"94";"Henry Sy";12700;"diversified"
"95";"Charlene de Carvalho-Heineken & family";12600;"Heineken"
"96";"Philip Anschutz";12500;"investments"
"97";"Ronald Perelman";12500;"leveraged buyouts"
"98";"Hans Rausing & family";12500;"packaging"
"99";"Carlos Alberto Sicupira & family";12500;"beer"
"100";"Klaus-Michael Kuehne";12400;"shipping"
"101";"Viktor Vekselberg";12400;"metals, energy"
"102";"He Xiangjian";12300;"home appliances"
"103";"Shiv Nadar";12300;"software services"
"104";"Takemitsu Takizaki";12300;"sensors"
"105";"Aliko Dangote";12200;"cement, sugar, flour"
"106";"Petr Kellner";12200;"banking"
"107";"Jim Kennedy";12200;"media"
"108";"Blair Parry-Okeden";12200;"media"
"109";"Lui Che Woo";12100;"casinos"
"110";"Donald Newhouse";12100;"media"
"111";"Samuel Irving Newhouse, Jr.";12100;"media"
"112";"Stephen Schwarzman";11800;"investments"
"113";"Alain Wertheimer";11800;"Chanel"
"114";"Gerard Wertheimer";11800;"Chanel"
"115";"Robert Kuok";11400;"palm oil, shipping, property"
"116";"Emmanuel Besnier";11300;"cheese"
"117";"Lukas Walton";11300;"Wal-Mart"
"118";"Hasso Plattner & family";11200;"software"
"119";"Eric Schmidt";11100;"Google"
"120";"Luis Carlos Sarmiento";11000;"banking"
"121";"David Tepper";11000;"hedge funds"
"122";"Udo & Harald Tschira";11000;"software"
"123";"Alberto Bailleres Gonzalez & family";10800;"mining"
"124";"Dustin Moskovitz";10700;"Facebook"
"125";"Majid Al Futtaim & family";10600;"real estate, retail"
"126";"Peter Woo";10500;"real estate"
"127";"Andrew Beal";10400;"banks, real estate"
"128";"Hui Ka Yan";10200;"real estate"
"129";"John Menard, Jr.";10200;"home improvement stores"
"130";"Reinhold Wuerth & family";10000;"fasteners"
"131";"John Fredriksen";9900;"shipping"
"132";"Dhanin Chearavanont";9700;"diversified"
"133";"Kumar Birla";9500;"commodities"
"134";"Graeme Hart";9500;"investments"
"135";"Massimiliana Landini Aleotti & family";9500;"pharmaceuticals"
"136";"Galen Weston & family";9500;"retail"
"137";"James Goodnight";9400;"software"
"138";"German Khan";9300;"oil, banking, telecom"
"139";"Roman Abramovich";9100;"steel, investments"
"140";"R. Budi Hartono";9000;"banking, tobacco"
"141";"Dietmar Hopp & family";9000;"software"
"142";"Jan Koum";9000;"WhatsApp"
"143";"James Ratcliffe";9000;"chemicals"
"144";"Yang Huiyan";9000;"real estate"
"145";"Michael Hartono";8900;"banking, tobacco"
"146";"Leonard Lauder";8900;"Estee Lauder"
"147";"Eyal Ofer";8900;"real estate, shipping"
"148";"Mikhail Prokhorov";8900;"investments"
"149";"Thomas Frist, Jr. & family";8800;"health care"
"150";"Robert & Philip Ng";8700;"real estate"
"151";"Ernesto Bertarelli";8600;"biotech, investments"
"152";"Patrick Soon-Shiong";8600;"pharmaceuticals"
"153";"Harry Triguboff";8500;"real estate"
"154";"Yao Zhenhua";8400;"conglomerate"
"155";"Zhang Zhidong";8400;"internet media"
"156";"Viktor Rashnikov";8300;"steel"
"157";"Charles Schwab";8300;"discount brokerage"
"158";"Shahid Khan";8200;"auto parts"
"159";"Mohammed Al Amoudi";8100;"oil, diversified"
"160";"Micky Arison";8100;"Carnival Cruises"
"161";"James Chambers";8100;"media"
"162";"Xavier Niel";8100;"internet, telecom"
"163";"Cyrus Poonawalla";8100;"vaccines"
"164";"Katharine Rayner";8100;"media"
"165";"Margaretta Taylor";8100;"media"
"166";"Ken Griffin";8000;"hedge funds"
"167";"Herbert Kohler, Jr. & family";8000;"plumbing fixtures"
"168";"Uday Kotak";8000;"banking"
"169";"Pierre Omidyar";8000;"eBay"
"170";"George Kaiser";7900;"oil & gas, banking"
"171";"John Paulson";7900;"hedge funds"
"172";"Eduardo Saverin";7900;"Facebook"
"173";"Edward Johnson, III.";7800;"money management"
"174";"Eli Broad";7700;"investments"
"175";"Heinrich Deichmann & family";7700;"footwear"
"176";"Liu Qiangdong";7700;"e-commerce"
"177";"John Malone";7700;"cable television"
"178";"Michael Otto & family";7700;"retail, real estate"
"179";"Walter P.J. Droege";7600;"consulting"
"180";"James Irving";7600;"diversified"
"181";"Aloys Wobben";7600;"wind turbines"
"182";"Gianluigi & Rafaela Aponte";7500;"Shipping"
"183";"Terry Gou";7500;"electronics"
"184";"Stanley Kroenke";7500;"sports, real estate"
"185";"Sunil Mittal & family";7500;"telecom"
"186";"Carl Cook";7400;"medical devices"
"187";"Stephen Ross";7400;"real estate"
"188";"August von Finck";7400;"investments"
"189";"Zhou Qunfei";7400;"smartphone screens"
"190";"David Geffen";7300;"movies, record labels"
"191";"Walter Kwok";7300;"real estate"
"192";"Gordon Moore";7300;"Intel"
"193";"Dmitry Rybolovlev";7300;"fertilizer"
"194";"Johann Graf";7200;"gambling"
"195";"Richard Kinder";7200;"pipelines"
"196";"Alexei Kuzmichev";7200;"oil, banking, telecom"
"197";"Hank & Doug Meijer";7200;"supermarkets"
"198";"Zong Qinghou";7200;"beverages"
"199";"Silvio Berlusconi & family";7000;"media"
"200";"Nicky Oppenheimer & family";7000;"diamonds"
