"";"ImePriimek";"Kategorija";"Premozenje"
"130";"Uday Kotak";"Finance & Investments";10400
"131";"Jorge Paulo Lemann & family";"Food & Beverage";10400
"132";"Jorn Rausing";"Food & Beverage";10300
"133";"Hank & Doug Meijer";"Fashion & Retail";10200
"134";"Stefano Pessina";"Fashion & Retail";10200
"135";"Suleiman Kerimov & family";"Finance & Investments";10000
"136";"Stanley Kroenke";"Sports";10000
"137";"Joseph Tsai";"Technology";10000
"138";"Gordon Moore";"Technology";9800
"139";"Jan Koum";"Technology";9700
"140";"Robin Zeng";"Energy";9700
"141";"John Fredriksen";"Logistics";9600
"142";"Robert Kuok";"Diversified";9600
"143";"Andreas Struengmann & family";"Healthcare";9600
"144";"Thomas Struengmann & family";"Healthcare";9600
"145";"Hui Wing Mau";"Real Estate";9500
"146";"Dustin Moskovitz";"Technology";9300
"147";"Lei Jun";"Technology";9200
"148";"Quek Leng Chan";"Diversified";9200
"149";"Sun Hongbin";"Real Estate";9200
"150";"Finn Rausing";"Food & Beverage";9100
"151";"Kirsten Rausing";"Food & Beverage";9100
"152";"Charoen Sirivadhanabhakdi";"Food & Beverage";9100
"153";"Stewart and Lynda Resnick";"Food & Beverage";9000
"154";"Luis Carlos Sarmiento";"Finance & Investments";9000
"155";"Gautam Adani";"Diversified";8900
"156";"Christy Walton";"Fashion & Retail";8900
"157";"Sunil Mittal & family";"Telecom";8800
"158";"Zhang Bangxin";"Service";8800
"159";"Anthony Pratt";"Manufacturing";8700
"160";"German Khan";"Energy";8500
"161";"Eduardo Saverin";"Technology";8400
"162";"Aliko Dangote";"Manufacturing";8300
"163";"George Soros";"Finance & Investments";8300
"164";"Zong Qinghou";"Food & Beverage";8300
"165";"Richard Qiangdong Liu";"Technology";8200
"166";"Friedhelm Loh";"Manufacturing";8200
"167";"Lu Zhongfang";"Automotive";8200
"168";"Cyrus Poonawalla";"Healthcare";8200
"169";"Ernesto Bertarelli";"Healthcare";8000
"170";"Mike Cannon-Brookes";"Technology";8000
"171";"Carl Cook";"Healthcare";8000
"172";"Scott Farquhar";"Technology";8000
"173";"Gong Hongjia & family";"Finance & Investments";8000
"174";"Jerry Jones";"Sports";8000
"175";"Michael Platt";"Finance & Investments";8000
"176";"Anders Holch Povlsen";"Fashion & Retail";8000
"177";"Eric Wittouck";"Finance & Investments";8000
"178";"Xu Shihui";"Food & Beverage";8000
"179";"Andrew Beal";"Finance & Investments";7900
"180";"Ann Walton Kroenke";"Fashion & Retail";7900
"181";"Wang Wenyin";"Metals & Mining";7900
"182";"Zhang Fan";"Technology";7900
"183";"Shahid Khan";"Automotive";7800
"184";"Zhang Jindong";"Fashion & Retail";7700
"185";"Kumar Birla";"Diversified";7600
"186";"Chen Bang";"Healthcare";7600
"187";"David Geffen";"Media & Entertainment";7600
"188";"Jiang Rensheng & family";"Healthcare";7600
"189";"Jim Kennedy";"Media & Entertainment";7600
"190";"Blair Parry-Okeden";"Media & Entertainment";7600
"191";"Stephen Ross";"Real Estate";7600
"192";"August von Finck";"Finance & Investments";7600
"193";"David Duffield";"Technology";7500
"194";"Thomas Frist, Jr. & family";"Healthcare";7500
"195";"Eyal Ofer";"Diversified";7500
"196";"John Grayken";"Finance & Investments";7400
"197";"Niels Peter Louis-Hansen";"Healthcare";7400
"198";"Lakshmi Mittal";"Metals & Mining";7400
"199";"Nicky Oppenheimer & family";"Metals & Mining";7400
"200";"John Doerr";"Technology";7300
