"";"ImePriimek";"Premozenje";"Vir"
"1";"Jeff Bezos";112000;"Amazon"
"2";"Bill Gates";90000;"Microsoft"
"3";"Warren Buffett";84000;"Berkshire Hathaway"
"4";"Bernard Arnault & family";72000;"LVMH"
"5";"Mark Zuckerberg";71000;"Facebook"
"6";"Amancio Ortega";70000;"Zara"
"7";"Carlos Slim Helu & family";67100;"telecom"
"8";"Charles Koch";60000;"Koch Industries"
"9";"David Koch";60000;"Koch Industries"
"10";"Larry Ellison";58500;"software"
"11";"Michael Bloomberg";50000;"Bloomberg LP"
"12";"Larry Page";48800;"Google"
"13";"Sergey Brin";47500;"Google"
"14";"Jim Walton";46400;"Walmart"
"15";"Rob Walton";46200;"Walmart"
"16";"Alice Walton";46000;"Walmart"
"17";"Ma Huateng";45300;"internet media"
"18";"Francoise Bettencourt Meyers & family";42200;"L'Oreal"
"19";"Mukesh Ambani";40100;"petrochemicals, oil & gas"
"20";"Jack Ma";39000;"e-commerce"
"21";"Sheldon Adelson";38500;"casinos"
"22";"Steve Ballmer";38400;"Microsoft"
"23";"Li Ka-shing";34900;"diversified"
"24";"Hui Ka Yan";30300;"real estate"
"25";"Lee Shau Kee";30300;"real estate"
"26";"Wang Jianlin";30000;"real estate"
"27";"Beate Heister & Karl Albrecht Jr.";29800;"supermarkets"
"28";"Phil Knight & family";29600;"Nike"
"29";"Jorge Paulo Lemann & family";27400;"beer"
"30";"Francois Pinault & family";27000;"luxury goods"
"31";"Georg Schaeffler";25300;"auto parts"
"32";"Susanne Klatten";25000;"BMW, pharmaceuticals"
"33";"David Thomson & family";25000;"media"
"34";"Jacqueline Mars";23600;"candy, pet food"
"35";"John Mars";23600;"candy, pet food"
"36";"Joseph Safra";23500;"banking"
"37";"Giovanni Ferrero";23000;"Nutella, chocolates"
"38";"Dietrich Mateschitz";23000;"Red Bull"
"39";"Michael Dell";22700;"Dell computers"
"40";"Masayoshi Son";22700;"internet, telecom"
"41";"Serge Dassault & family";22600;"diversified"
"42";"Stefan Quandt";22000;"BMW"
"43";"Yang Huiyan";21900;"real estate"
"44";"Paul Allen";21700;"Microsoft, investments"
"45";"Leonardo Del Vecchio & family";21200;"eyeglasses"
"46";"Dieter Schwarz";20900;"retail"
"47";"Thomas Peterffy";20300;"discount brokerage"
"48";"Theo Albrecht, Jr. & family";20200;"Aldi, Trader Joe's"
"49";"Len Blavatnik";20200;"diversified"
"50";"He Xiangjian";20100;"home appliances"
"51";"Lui Che Woo & family";20100;"casinos/hotels"
"52";"James Simons";20000;"hedge funds"
"53";"Henry Sy";20000;"diversified"
"54";"Elon Musk";19900;"Tesla Motors"
"55";"Hinduja brothers";19500;"diversified"
"56";"Tadashi Yanai & family";19500;"fashion retail"
"57";"Vladimir Lisin";19100;"steel, transport"
"58";"Laurene Powell Jobs & family";18800;"Apple, Disney"
"59";"Azim Premji";18800;"software services"
"60";"Alexey Mordashov";18700;"steel, investments"
"61";"Lee Kun-hee";18600;"Samsung"
"62";"Lakshmi Mittal";18500;"steel"
"63";"Wang Wei";18200;"package delivery"
"64";"Leonid Mikhelson";18000;"gas, chemicals"
"65";"Charoen Sirivadhanabhakdi";17900;"alcohol, real estate"
"66";"Pallonji Mistry";17800;"construction"
"67";"Ray Dalio";17700;"hedge funds"
"68";"Takemitsu Takizaki";17500;"sensors"
"69";"William Ding";17400;"online games"
"70";"R. Budi Hartono";17400;"banking, tobacco"
"71";"Gina Rinehart";17400;"mining"
"72";"German Larrea Mota Velasco & family";17300;"mining"
"73";"Carl Icahn";16800;"investments"
"74";"Stefan Persson";16800;"H&M"
"75";"Michael Hartono";16700;"banking, tobacco"
"76";"Joseph Lau";16700;"real estate"
"77";"Thomas & Raymond Kwok";16500;"real estate"
"78";"Vagit Alekperov";16400;"oil"
"79";"James Ratcliffe";16400;"chemicals"
"80";"Donald Bren";16300;"real estate"
"81";"Iris Fontbona & family";16300;"mining"
"82";"Gennady Timchenko";16000;"oil, gas"
"83";"Abigail Johnson";15900;"money management"
"84";"Vladimir Potanin";15900;"metals"
"85";"Lukas Walton";15900;"Walmart"
"86";"Charlene de Carvalho-Heineken & family";15800;"Heineken"
"87";"Zhang Zhidong";15600;"internet media"
"88";"Petr Kellner";15500;"finance, telecommunications"
"89";"Andrey Melnichenko";15500;"coal, fertilizers"
"90";"David Reuben";15500;"investments, real estate"
"91";"Klaus-Michael Kuehne";15300;"shipping"
"92";"Li Shufu";15300;"automobiles"
"93";"Mikhail Fridman";15100;"oil, banking, telecom"
"94";"Rupert Murdoch & family";15000;"newspapers, TV network"
"95";"Dhanin Chearavanont";14900;"diversified"
"96";"Robert Kuok";14800;"palm oil, shipping, property"
"97";"Emmanuel Besnier";14700;"cheese"
"98";"Shiv Nadar";14600;"software services"
"99";"Viktor Vekselberg";14400;"metals, energy"
"100";"Aliko Dangote";14100;"cement, sugar, flour"
"101";"Harold Hamm & family";14100;"oil & gas"
"102";"Steve Cohen";14000;"hedge funds"
"103";"Dustin Moskovitz";14000;"Facebook"
"104";"Marcel Herrmann Telles";14000;"beer"
"105";"Reinhold Wuerth & family";13600;"fasteners"
"106";"Charles Ergen";13400;"satellite TV"
"107";"Eric Schmidt";13400;"Google"
"108";"Philip Anschutz";13000;"investments"
"109";"Jim Kennedy";13000;"media"
"110";"Blair Parry-Okeden";13000;"media, automotive"
"111";"Alain Wertheimer";13000;"Chanel"
"112";"Gerard Wertheimer";13000;"Chanel"
"113";"Leonard Lauder";12900;"Estee Lauder"
"114";"Heinz Hermann Thiele & family";12900;"brakes"
"115";"Dilip Shanghvi";12800;"pharmaceuticals"
"116";"Hasso Plattner & family";12700;"software"
"117";"Stephen Schwarzman";12600;"investments"
"118";"Lei Jun";12500;"smartphones"
"119";"Hans Rausing & family";12500;"packaging"
