"";"ImePriimek";"Premozenje";"Vir"
"120";"Alisher Usmanov";12500;"steel, telecom, investments"
"121";"Donald Newhouse";12300;"media"
"122";"Peter Woo";12200;"real estate"
"123";"Luis Carlos Sarmiento";12100;"banking"
"124";"Robin Li";12000;"internet search"
"125";"Carlos Alberto Sicupira & family";12000;"beer"
"126";"Seo Jung-jin";11900;"biotech"
"127";"Kumar Birla";11800;"commodities"
"128";"Alexander Otto";11800;"real estate"
"129";"Stefano Pessina";11800;"drugstores"
"130";"Udo & Harald Tschira";11700;"software"
"131";"Wang Wenyin";11700;"mining, copper products"
"132";"Andrew Beal";11600;"banks, real estate"
"133";"Lee Man Tat";11600;"Oyster sauce, real estate"
"134";"John Menard, Jr.";11500;"home improvement stores"
"135";"Xu Shihui & family";11300;"snacks, beverages"
"136";"Zhou Hongyi";11300;"security software"
"137";"Gong Hongjia & family";11200;"video surveillance"
"138";"Michael Otto & family";11000;"retail, real estate"
"139";"David Tepper";11000;"hedge funds"
"140";"Roman Abramovich";10800;"steel, investments"
"141";"Richard Liu";10800;"e-commerce"
"142";"Robert & Philip Ng";10800;"real estate"
"143";"Alberto Bailleres Gonzalez & family";10700;"mining"
"144";"Uday Kotak";10700;"banking"
"145";"Pierre Omidyar";10500;"eBay"
"146";"Walter P.J. Droege";10300;"consulting"
"147";"Dietmar Hopp & family";10200;"software"
"148";"Graeme Hart";10100;"investments"
"149";"Eduardo Saverin";10100;"Facebook"
"150";"Yan Zhi";10100;"real estate"
"151";"Radhakishan Damani & family";10000;"investments, retail"
"152";"German Khan";9800;"oil, banking, telecom"
"153";"Ronald Perelman";9800;"leveraged buyouts"
"154";"Gautam Adani";9700;"commodities, ports"
"155";"Micky Arison";9700;"Carnival Cruises"
"156";"Pan Zhengmin & family";9700;"electronics"
"157";"Joseph Tsai";9700;"e-commerce"
"158";"Thomas Frist, Jr. & family";9600;"health care"
"159";"Mikhail Prokhorov";9600;"investments"
"160";"Galen Weston & family";9500;"retail"
"161";"Zong Qinghou";9500;"beverages"
"162";"Eyal Ofer";9400;"real estate, shipping"
"163";"Charles Schwab";9400;"discount brokerage"
"164";"Gianluigi & Rafaela Aponte";9300;"Shipping"
"165";"Herbert Kohler, Jr. & family";9300;"plumbing fixtures"
"166";"Viktor Rashnikov";9300;"steel"
"167";"Harry Triguboff";9200;"real estate"
"168";"August von Finck";9200;"investments"
"169";"Yao Zhenhua & family";9200;"conglomerate"
"170";"Jan Koum";9100;"WhatsApp"
"171";"Cyrus Poonawalla";9100;"vaccines"
"172";"James Goodnight";9000;"software"
"173";"Ken Griffin";9000;"hedge funds"
"174";"Giorgio Armani";8900;"luxury goods"
"175";"Ernesto Bertarelli";8900;"biotech, investments"
"176";"Savitri Jindal & family";8800;"steel"
"177";"Sunil Mittal & family";8800;"telecom"
"178";"James Chambers";8700;"media, automotive"
"179";"Katharine Rayner";8700;"media, automotive"
"180";"Margaretta Taylor";8700;"media, automotive"
"181";"Terry Gou";8500;"electronics"
"182";"Gordon Moore";8500;"Intel"
"183";"James Irving";8300;"diversified"
"184";"Stanley Kroenke";8300;"sports, real estate"
"185";"Melker Schorling";8200;"investments"
"186";"Johann Graf";8100;"gambling"
"187";"Guo Guangchang";8100;"conglomerate"
"188";"John Malone";8100;"cable television"
"189";"Xavier Niel";8100;"internet, telecom"
"190";"Silvio Berlusconi & family";8000;"media"
"191";"Carl Cook";8000;"medical devices"
"192";"David Geffen";8000;"movies, record labels"
"193";"Hui Wing Mau";8000;"real estate"
"194";"Walter Kwok";8000;"real estate"
"195";"George Soros";8000;"hedge funds"
"196";"Edward Johnson, III.";7900;"money management"
"197";"Massimiliana Landini Aleotti & family";7900;"pharmaceuticals"
"198";"David Duffield";7800;"business software"
"199";"George Kaiser";7800;"oil & gas, banking"
"200";"Patrick Soon-Shiong";7800;"pharmaceuticals"
